position,title,link,authors,publications
36,Evolving collective behavior in an artificial ecology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:ufrVoPGSRksC,"CR Ward, F Gobet, G Kendall","Artificial Life 7 (2), 191-209, 2001"
37,Automatic design of a hyper-heuristic framework with gene expression programming for combinatorial optimization problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:F1b5ZUV5XREC,"NR Sabar, M Ayob, G Kendall, R Qu","IEEE Transactions on Evolutionary Computation 19 (3), 309-325, 2014"
38,A model for fresh produce shelf-space allocation and inventory management with freshness-condition-dependent demand,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:4JMBOYKVnBMC,"R Bai, G Kendall","INFORMS Journal on Computing 20 (1), 78, 2010"
39,Choice function and random hyperheuristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:kNdYIx-mwKoC,"G Kendall, E Soubeiga, P Cowling","Proceedings of the fourth Asia-Pacific Conference on Simulated Evolution And …, 2002"
40,An investigation of a tabu-search-based hyper-heuristic for examination timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:5nxA0vEk-isC,"G Kendall, N Hussin","Multidisciplinary Scheduling: Theory and Applications, 309-328, 2005"
41,A parameter-free hyperheuristic for scheduling a sales summit,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:MXK_kJrjxJIC,"P Cowling, G Kendall, E Soubeiga","Proceedings of the 4th Metaheuristic International Conference, MIC 2001, 127-131, 2001"
42,An evolutionary approach for the tuning of a chess evaluation function using population dynamics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:UeHWp8X0CEIC,"G Kendall, G Whitwell","Evolutionary Computation, 2001. Proceedings of the 2001 Congress on 2, 995 …, 2001"
43,A tabu search hyper-heuristic strategy for t-way test suite generation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:RoXSNcbkSzsC,"KZ Zamli, BY Alkazemi, G Kendall","Applied Soft Computing 44, 57-74, 2016"
44,When sports rules go awry,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:mUJArPsKIAAC,"G Kendall, LJA Lenten","European Journal of Operational Research 257 (2), 377-394, 2017"
45,A multi-objective hyper-heuristic based on choice function,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:u-coK7KVo8oC,"M Maashi, E Özcan, G Kendall","Expert Systems with Applications 41 (9), 4475-4493, 2014"
46,General video game playing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:HIFyuExEbWQC,"J Levine, C Bates Congdon, M Ebner, G Kendall, SM Lucas, ...","Dagstuhl Publishing, 2013"
47,An adaptive multi-population artificial bee colony algorithm for dynamic optimisation problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:ce2CqMG-AY4C,"SK Nseef, S Abdullah, A Turky, G Kendall","Knowledge-based systems 104, 14-23, 2016"
48,Grammatical evolution hyper-heuristic for combinatorial optimization problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:HtEfBTGE9r8C,"NR Sabar, M Ayob, G Kendall, R Qu","IEEE Transactions on Evolutionary Computation 17 (6), 840-861, 2013"
49,Grammatical evolution of local search heuristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:uLbwQdceFCQC,"EK Burke, MR Hyde, G Kendall","IEEE Transactions on Evolutionary Computation 16 (3), 406-417, 2011"
50,A simulated annealing hyper-heuristic methodology for flexible decision support,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:hC7cP41nSMkC,"R Bai, J Blazewicz, EK Burke, G Kendall, B McCollum","4OR: A Quarterly Journal of Operations Research, 1-24, 2007"
51,Iterated local search vs. hyper-heuristics: Towards general-purpose search algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:70eg2SAEIzsC,"EK Burke, T Curtois, M Hyde, G Kendall, G Ochoa, S Petrovic, ...","IEEE Congress on Evolutionary Computation (CEC 2010), 3073-3080, 2010"
52,Advanced population diversity measures in genetic programming,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:_FxGoFyzp5QC,"E Burke, S Gustafson, G Kendall, N Krasnogor","Parallel Problem Solving from Nature—PPSN VII, 341-350, 2002"
53,The examination timetabling problem at Universiti Malaysia Pahang: Comparison of a constructive heuristic with an existing software solution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:L7CI7m0gUJcC,"MNM Kahar, G Kendall","European journal of operational research 207 (2), 557-565, 2010"
54,Monte Carlo hyper-heuristics for examination timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:M05iB0D1s5AC,"EK Burke, G Kendall, M Mısır, E Özcan","Annals of Operations Research, 1-18, 2010"
